Business Name,Category,City,Address,Phone,Source
IMPRESARIO ENTERTAINMENT & HOSPITALITY PRIVATE LIMITED,Restaurant,Mumbai,"Nagpada, Mumbai, 400008",08048104267,Sulekha
Alamgir Restaurant,Restaurant,Mumbai,"Mazgaon, Mumbai, 400010",,Sulekha
Subway,Restaurant,Mumbai,"Goregaon East, Mumbai, 400063",,Sulekha
Delhi Darbar,Restaurant,Mumbai,"Grant Road, Mumbai, 400007",,Sulekha
Jai Jawan,Restaurant,Mumbai,"Bandra West, Mumbai, 400050",,Sulekha
Cafe Coffee Day,Restaurant,Mumbai,"Bandra West, Mumbai, 400050",,Sulekha
5 The Restaurant,Restaurant,Mumbai,"Santacruz West, Mumbai, 400054",,Sulekha
Prems Chinese Restaurant,Restaurant,Mumbai,"Malad West, Mumbai, 400064",,Sulekha
Galaxy Snacks,Restaurant,Mumbai,"Fort, Mumbai, 400001",,Sulekha
Maharaja Bhob,Restaurant,Mumbai,"Malad West, Mumbai, 400064",,Sulekha
Pizza Casa,Restaurant,Mumbai,"Versova, Mumbai, 400061",,Sulekha
McDonald's,Restaurant,Mumbai,"Arya Nagar, Mumbai, 400034",,Sulekha
Subway,Restaurant,Mumbai,"Bandra East, Mumbai, 400051",,Sulekha
Elco Pani Puri Centre,Restaurant,Mumbai,"Bandra West, Mumbai, 400050",,Sulekha
Pizzaway,Restaurant,Mumbai,"Andheri East, Mumbai, 400099",,Sulekha
Murali Hotel,Restaurant,Mumbai,"Powai, Mumbai, 400076",,Sulekha
Raju Kabab Restaurant,Restaurant,Mumbai,"Andheri West, Mumbai, 400053",,Sulekha
Downtown Dhaba,Restaurant,Mumbai,"Prabhadevi, Mumbai, 400025",,Sulekha
Ginger Marie,Restaurant,Mumbai,"Andheri West, Mumbai, 400058",,Sulekha
Cafe Coffee Day,Restaurant,Mumbai,"Bandra East, Mumbai, 400051",,Sulekha
Airport Restaurant & Fast Food,Restaurant,Mumbai,"Andheri East, Mumbai, 400099",,Sulekha
Raju's Malwani Corner,Restaurant,Mumbai,"Dadar West, Mumbai, 400028",,Sulekha
Adelkars Kitchen,Restaurant,Mumbai,"Goregaon West, Mumbai, 400062",,Sulekha
Poonam Kapur's Juices for Life,Restaurant,Mumbai,"Andheri West, Mumbai, 400053",,Sulekha
Suyog Malvani Hotel,Restaurant,Mumbai,"Andheri East, Mumbai, 400069",,Sulekha
Kandahar,Restaurant,Mumbai,"Nariman Point, Mumbai, 400021",,Sulekha
Chill & Cool,Restaurant,Mumbai,"Mahim, Mumbai, 140016",,Sulekha
Pacific stationers,Restaurant,Mumbai,"Lower Parel West, Mumbai, 400013",,Sulekha
Milaap Services,Restaurant,Mumbai,"Sanpada, Mumbai, 400705",,Sulekha
Awaywegoo,Restaurant,Mumbai,"Andheri East, Mumbai, 400069",,Sulekha
Adis Restaurants,Restaurant,Mumbai,"Bandra West, Mumbai, 400050",,Sulekha
Naturals Ice-Cream Parlour,Restaurant,Mumbai,"Andheri West, Mumbai, 400058",,Sulekha
Amar Juice Centre,Restaurant,Mumbai,"I.R.L.A., Mumbai, 400056",,Sulekha
Gaylord Restaurant,Restaurant,Mumbai,"Churchgate, Mumbai, 400020",,Sulekha
Barbeque Nation,Restaurant,Mumbai,"Bandra West, Mumbai, 400050",,Sulekha
5 Spice Restaurant,Restaurant,Mumbai,"Bandra West, Mumbai, 400050",,Sulekha
Pizza Hut,Restaurant,Mumbai,"Powai, Mumbai, 400076",,Sulekha
Fat Kong,Restaurant,Mumbai,"Vile Parle West, Mumbai, 400056",,Sulekha
Relish Restaurant,Restaurant,Mumbai,"Nariman Point, Mumbai, 400021",,Sulekha
Revival Restaurant,Restaurant,Mumbai,"Charni Road, Mumbai, 400002",,Sulekha
Swagath Restaurants,Restaurant,Mumbai,"Parel, Mumbai, 400012",,Sulekha
Woodside Inn,Restaurant,Mumbai,"Colaba, Mumbai, 400005",,Sulekha
Haji Ali Juice Centre,Restaurant,Mumbai,"Haji Ali, Mumbai, 400026",,Sulekha
Cafe Mondegar Restaurant,Restaurant,Mumbai,"Colaba, Mumbai, 400005",,Sulekha
Koyla,Restaurant,Mumbai,"Colaba, Mumbai, 400005",,Sulekha
